City,Year,Deaths,population_2021,lat,lon,"Deaths per 100,000"
Vancouver,2022,310,693235,49.28137756034072,-123.11590128730316,44.717880660959125
Surrey,2022,136,614646,49.19051045358117,-122.88282842889087,22.126557400519975
Victoria,2022,94,94890,48.49812708832745,-123.3759674986586,99.06207187269472
Abbotsford,2022,56,165070,49.04879171852422,-122.32169473063348,33.925001514509
Kelowna,2022,51,149687,50.88948238277607,-120.34095539894552,34.071095018271464
Kamloops,2022,50,101603,50.88948238277607,-120.34095539894552,49.21114534019665
Prince George,2022,40,82326,53.92499574223163,-122.74737209063514,48.587323567281295
Burnaby,2022,38,260918,49.24893007892662,-122.97979986565414,14.56396262427276
Nanaimo,2022,37,101987,49.16505415385704,-123.9515238429776,36.27913361506859
Langley,2022,30,166356,49.102005534926846,-122.6603832444954,18.033614657721994
Vernon,2022,27,44916,50.36836051758316,-119.33458235059086,60.11220945765428
Maple Ridge,2022,25,94742,49.22179482762466,-122.60736548982204,26.387452238711447
Chilliwack,2022,22,95798,49.159916068847,-121.96909722603444,22.964988830664524
Richmond,2022,22,216280,49.17124789347076,-123.1370790112912,10.171999260218236
Delta,2022,20,108455,49.09532512697992,-123.02665924711486,18.440827993176892
